snapshot_id,cutoff_time,visible_flow_count,visible_flow_ids,excluded_future_ids,excluded_retrospective_ids
MMR_2021_01_08,2021-01-08T23:59:59+06:30,0,"","MM-RF-001;MM-RF-002;MM-RF-003;MM-RF-004;MM-RF-005;MM-RF-006",""
MMR_2021_01_15,2021-01-15T23:59:59+06:30,0,"","MM-RF-001;MM-RF-002;MM-RF-003;MM-RF-004;MM-RF-005;MM-RF-006",""
MMR_2021_01_22,2021-01-22T23:59:59+06:30,0,"","MM-RF-001;MM-RF-002;MM-RF-003;MM-RF-004;MM-RF-005;MM-RF-006",""
MMR_2021_01_29,2021-01-29T23:59:59+06:30,0,"","MM-RF-001;MM-RF-002;MM-RF-003;MM-RF-004;MM-RF-005;MM-RF-006",""
MMR_2021_02_05,2021-02-05T23:59:59+06:30,0,"","MM-RF-001;MM-RF-002;MM-RF-003;MM-RF-004;MM-RF-005;MM-RF-006",""
MMR_2021_02_12,2021-02-12T23:59:59+06:30,0,"","MM-RF-001;MM-RF-002;MM-RF-003;MM-RF-004;MM-RF-005;MM-RF-006",""
MMR_2021_02_19,2021-02-19T23:59:59+06:30,0,"","MM-RF-001;MM-RF-002;MM-RF-003;MM-RF-004;MM-RF-005;MM-RF-006",""
MMR_2021_02_26,2021-02-26T23:59:59+06:30,0,"","MM-RF-001;MM-RF-002;MM-RF-003;MM-RF-004;MM-RF-005;MM-RF-006",""
MMR_2021_03_05,2021-03-05T23:59:59+06:30,0,"","MM-RF-001;MM-RF-002;MM-RF-003;MM-RF-004;MM-RF-005;MM-RF-006",""
MMR_2021_03_12,2021-03-12T23:59:59+06:30,0,"","MM-RF-001;MM-RF-002;MM-RF-003;MM-RF-004;MM-RF-005;MM-RF-006",""
MMR_2021_03_19,2021-03-19T23:59:59+06:30,0,"","MM-RF-001;MM-RF-002;MM-RF-003;MM-RF-004;MM-RF-005;MM-RF-006",""
MMR_2021_03_26,2021-03-26T23:59:59+06:30,1,"MM-RF-001","MM-RF-002;MM-RF-003;MM-RF-004;MM-RF-005;MM-RF-006",""
MMR_2021_04_02,2021-04-02T23:59:59+06:30,1,"MM-RF-001","MM-RF-002;MM-RF-003;MM-RF-004;MM-RF-005;MM-RF-006",""
MMR_2021_04_09,2021-04-09T23:59:59+06:30,2,"MM-RF-001;MM-RF-002","MM-RF-003;MM-RF-004;MM-RF-005;MM-RF-006",""
MMR_2021_04_16,2021-04-16T23:59:59+06:30,2,"MM-RF-001;MM-RF-002","MM-RF-003;MM-RF-004;MM-RF-005;MM-RF-006",""
MMR_2021_04_23,2021-04-23T23:59:59+06:30,3,"MM-RF-001;MM-RF-002;MM-RF-003","MM-RF-004;MM-RF-005;MM-RF-006",""
MMR_2021_04_30,2021-04-30T23:59:59+06:30,3,"MM-RF-001;MM-RF-002;MM-RF-003","MM-RF-004;MM-RF-005;MM-RF-006",""
MMR_2021_05_07,2021-05-07T23:59:59+06:30,3,"MM-RF-001;MM-RF-002;MM-RF-003","MM-RF-004;MM-RF-005;MM-RF-006",""
MMR_2021_05_14,2021-05-14T23:59:59+06:30,3,"MM-RF-001;MM-RF-002;MM-RF-003","MM-RF-004;MM-RF-005;MM-RF-006",""
MMR_2021_06_01,2021-06-01T23:59:59+06:30,3,"MM-RF-001;MM-RF-002;MM-RF-003","MM-RF-004;MM-RF-005;MM-RF-006",""
MMR_2021_07_01,2021-07-01T23:59:59+06:30,6,"MM-RF-001;MM-RF-002;MM-RF-003;MM-RF-004;MM-RF-005;MM-RF-006","",""
MMR_2021_08_01,2021-08-01T23:59:59+06:30,6,"MM-RF-001;MM-RF-002;MM-RF-003;MM-RF-004;MM-RF-005;MM-RF-006","",""
MMR_2021_08_31,2021-08-31T23:59:59+06:30,6,"MM-RF-001;MM-RF-002;MM-RF-003;MM-RF-004;MM-RF-005;MM-RF-006","",""
