snapshot_id,cutoff_time,phase
MMR_2021_01_08,2021-01-08T23:59:59+06:30,PRE_COUP_BASELINE
MMR_2021_01_15,2021-01-15T23:59:59+06:30,PRE_COUP_BASELINE
MMR_2021_01_22,2021-01-22T23:59:59+06:30,PRE_COUP_BASELINE
MMR_2021_01_29,2021-01-29T23:59:59+06:30,PRE_COUP_WARNING
MMR_2021_02_05,2021-02-05T23:59:59+06:30,POST_COUP_EARLY
MMR_2021_02_12,2021-02-12T23:59:59+06:30,POST_COUP_PROTEST
MMR_2021_02_19,2021-02-19T23:59:59+06:30,POST_COUP_PROTEST
MMR_2021_02_26,2021-02-26T23:59:59+06:30,POST_COUP_PROTEST
MMR_2021_03_05,2021-03-05T23:59:59+06:30,REPRESSION_ESCALATION
MMR_2021_03_12,2021-03-12T23:59:59+06:30,REPRESSION_ESCALATION
MMR_2021_03_19,2021-03-19T23:59:59+06:30,REPRESSION_ESCALATION
MMR_2021_03_26,2021-03-26T23:59:59+06:30,ARMED_RESISTANCE_EMERGING
MMR_2021_04_02,2021-04-02T23:59:59+06:30,ARMED_RESISTANCE_EMERGING
MMR_2021_04_09,2021-04-09T23:59:59+06:30,ARMED_RESISTANCE_EMERGING
MMR_2021_04_16,2021-04-16T23:59:59+06:30,ARMED_RESISTANCE_EMERGING
MMR_2021_04_23,2021-04-23T23:59:59+06:30,ARMED_RESISTANCE_EMERGING
MMR_2021_04_30,2021-04-30T23:59:59+06:30,PRE_PDF_FORMATION
MMR_2021_05_07,2021-05-07T23:59:59+06:30,PDF_FORMATION
MMR_2021_05_14,2021-05-14T23:59:59+06:30,POST_PDF_FORMATION
MMR_2021_06_01,2021-06-01T23:59:59+06:30,MULTI_REGION_RESISTANCE
MMR_2021_07_01,2021-07-01T23:59:59+06:30,MULTI_REGION_RESISTANCE
MMR_2021_08_01,2021-08-01T23:59:59+06:30,SUSTAINED_CONFLICT
MMR_2021_08_31,2021-08-31T23:59:59+06:30,PRE_OUTCOME_ANCHOR
