snapshot_id,cutoff_time,visible_flow_count,visible_flow_ids,excluded_future_ids,excluded_retrospective_ids
S01,2021-12-03,3,"RU-RF-001;RU-RF-002;RU-RF-005","RU-RF-003","RU-RF-004;RU-RF-006"
S02,2021-12-10,4,"RU-RF-001;RU-RF-002;RU-RF-003;RU-RF-005","","RU-RF-004;RU-RF-006"
S03,2021-12-17,4,"RU-RF-001;RU-RF-002;RU-RF-003;RU-RF-005","","RU-RF-004;RU-RF-006"
S04,2021-12-24,4,"RU-RF-001;RU-RF-002;RU-RF-003;RU-RF-005","","RU-RF-004;RU-RF-006"
S05,2021-12-31,4,"RU-RF-001;RU-RF-002;RU-RF-003;RU-RF-005","","RU-RF-004;RU-RF-006"
S06,2022-01-07,4,"RU-RF-001;RU-RF-002;RU-RF-003;RU-RF-005","","RU-RF-004;RU-RF-006"
S07,2022-01-14,4,"RU-RF-001;RU-RF-002;RU-RF-003;RU-RF-005","","RU-RF-004;RU-RF-006"
S08,2022-01-21,4,"RU-RF-001;RU-RF-002;RU-RF-003;RU-RF-005","","RU-RF-004;RU-RF-006"
S09,2022-01-28,4,"RU-RF-001;RU-RF-002;RU-RF-003;RU-RF-005","","RU-RF-004;RU-RF-006"
S10,2022-02-04,4,"RU-RF-001;RU-RF-002;RU-RF-003;RU-RF-005","","RU-RF-004;RU-RF-006"
S11,2022-02-11,4,"RU-RF-001;RU-RF-002;RU-RF-003;RU-RF-005","","RU-RF-004;RU-RF-006"
S12,2022-02-18,4,"RU-RF-001;RU-RF-002;RU-RF-003;RU-RF-005","","RU-RF-004;RU-RF-006"
S13,2022-02-23,4,"RU-RF-001;RU-RF-002;RU-RF-003;RU-RF-005","","RU-RF-004;RU-RF-006"
