snapshot_id,cutoff_time,horizon_days,target_event_time,outcome_label,independence_note
S01,2021-12-03,30,2022-02-24,0,"same crisis episode; not independent case"
S02,2021-12-10,30,2022-02-24,0,"same crisis episode; not independent case"
S03,2021-12-17,30,2022-02-24,0,"same crisis episode; not independent case"
S04,2021-12-24,30,2022-02-24,0,"same crisis episode; not independent case"
S05,2021-12-31,30,2022-02-24,0,"same crisis episode; not independent case"
S06,2022-01-07,30,2022-02-24,0,"same crisis episode; not independent case"
S07,2022-01-14,30,2022-02-24,0,"same crisis episode; not independent case"
S08,2022-01-21,30,2022-02-24,0,"same crisis episode; not independent case"
S09,2022-01-28,30,2022-02-24,1,"same crisis episode; not independent case"
S10,2022-02-04,30,2022-02-24,1,"same crisis episode; not independent case"
S11,2022-02-11,30,2022-02-24,1,"same crisis episode; not independent case"
S12,2022-02-18,30,2022-02-24,1,"same crisis episode; not independent case"
S13,2022-02-23,30,2022-02-24,1,"same crisis episode; not independent case"
