fixture_id,formula,effective_confidence,pass
T1_ONE_STRONG_COMPONENT_LOW_COVERAGE,A_LINEAR_COVERAGE,0.171950,True
T1_ONE_STRONG_COMPONENT_LOW_COVERAGE,B_GEOMETRIC,0.631313,False
T1_ONE_STRONG_COMPONENT_LOW_COVERAGE,C_HYBRID_MIN_CAP,0.320000,True
T2_FULL_MULTI_COMPONENT,A_LINEAR_COVERAGE,0.619500,True
T2_FULL_MULTI_COMPONENT,B_GEOMETRIC,0.626877,True
T2_FULL_MULTI_COMPONENT,C_HYBRID_MIN_CAP,0.619500,True
T3_MANY_COPIES_ONE_SOURCE,A_LINEAR_COVERAGE,0.601425,False
T3_MANY_COPIES_ONE_SOURCE,B_GEOMETRIC,0.538870,False
T3_MANY_COPIES_ONE_SOURCE,C_HYBRID_MIN_CAP,0.235000,True
T4_MIXED_FRESHNESS,A_LINEAR_COVERAGE,0.498844,True
T4_MIXED_FRESHNESS,B_GEOMETRIC,0.585801,True
T4_MIXED_FRESHNESS,C_HYBRID_MIN_CAP,0.527372,True
T5_MANDATORY_PIPELINE_STEP_MISSING,A_LINEAR_COVERAGE,0.490050,False
T5_MANDATORY_PIPELINE_STEP_MISSING,B_GEOMETRIC,0.000000,True
T5_MANDATORY_PIPELINE_STEP_MISSING,C_HYBRID_MIN_CAP,0.000000,True
T6_COMPONENT_FAILURE_DEGRADED,A_LINEAR_COVERAGE,0.393900,True
T6_COMPONENT_FAILURE_DEGRADED,B_GEOMETRIC,0.589133,True
T6_COMPONENT_FAILURE_DEGRADED,C_HYBRID_MIN_CAP,0.408769,True
T7_FULL_COVERAGE_HIGH_NOISE,A_LINEAR_COVERAGE,0.633250,True
T7_FULL_COVERAGE_HIGH_NOISE,B_GEOMETRIC,0.502210,True
T7_FULL_COVERAGE_HIGH_NOISE,C_HYBRID_MIN_CAP,0.633250,True
T8_STRONG_EARLY_SIGNAL_LOW_COVERAGE,A_LINEAR_COVERAGE,0.220500,True
T8_STRONG_EARLY_SIGNAL_LOW_COVERAGE,B_GEOMETRIC,0.682244,False
T8_STRONG_EARLY_SIGNAL_LOW_COVERAGE,C_HYBRID_MIN_CAP,0.362500,True
